brand,model,generation_or_platform,aliases,notes
"Audi","A3","8V / MQB","Typ8V,MQB",""
"Audi","A4","B9 (Typ 8W)","B9",""
"Audi","A6","C5 (Typ 4B); C6 (4F); C7 (4G); C8 (4K)","4B,4F,4G,4K","Generationen und Typcodes"
"Audi","A7","C8","C8",""
"Audi","Q5","FY (MLB evo)","FY,MLB-evo",""
"Audi","Q7","4M (MLB evo)","4M,MLB-evo",""
"BMW","1er","F20/F21","F20,F21",""
"BMW","3er","G20","G20",""
"BMW","5er","G30/G31","G30,G31",""
"BMW","X3","G01","G01",""
"Mercedes","C-Klasse","W205; W206","W205,W206",""
"Mercedes","E-Klasse","W213","W213",""
"Mercedes","GLC","X253","X253",""
"Volkswagen","Golf","Mk7 / MQB","Mk7,MQB",""
"Volkswagen","Passat","B8 (MQB)","B8,MQB",""
"Volkswagen","Tiguan","AD / MQB","AD,MQB",""
"Skoda","Octavia","Mk4 (NX, MQB)","NX,Mk4,MQB",""
"Seat","Leon","Mk4 (KL, MQB)","KL,Mk4,MQB",""
"Opel","Astra","K","AstraK",""
"Opel","Insignia","B","InsigniaB",""
"Ford","Focus","Mk4 (C2)","Mk4,C2",""
"Ford","Mondeo","Mk5 (CD4)","Mk5,CD4",""
"Renault","Clio","V (CMF-B)","ClioV,CMF-B",""
"Renault","Megane","IV (CMF-C/D)","MeganeIV,CMF-CD",""
"Peugeot","308","T9","T9",""
"Citroen","C4","B7","B7",""
"Fiat","500","312","312",""
"Toyota","Corolla","E210 (TNGA-C)","E210,TNGA",""
"Honda","Civic","FK7/FK8 (10th Gen)","FK7,FK8",""
"Mazda","3","BP","BP",""
"Nissan","Qashqai","J11","J11",""
"Hyundai","i30","PD","PD",""
"Kia","Ceed","CD","CD",""
"Volvo","XC60","SPA","SPA",""
"Tesla","Model 3","Highland (2023–)","Highland,Model3",""
"Subaru","Forester","SK","SK",""
"Mitsubishi","Outlander","GF/GM; GN","GF,GM,GN",""
"Alfa Romeo","Giulia","952 (Giorgio)","952,Giorgio",""
"Dacia","Duster","J11/J12","J11,J12",""
